Date,Time,Venue,Capacity,Total Invigilators,Lead Invigilator,Special_Requirement,Special Skill Invigilators,Normal Invigilators,Backup Invigilators
2024-05-20,AM,Room UG09 (Great Hall Building),87,2,William Sanders,no,[],['Michael Hughes'],"['Jacqueline Diaz', 'Christopher Mcfarland', 'Jennifer Hill']"
2024-05-20,AM,Social Sciences SR (10.05),10,3,Christopher Levine,yes,"['Jennifer Holder', 'Glenda Martinez DDS']",[],['Raymond Jensen']
2024-05-20,AM,Social Sciences SR (10.06),8,2,Angela Rangel,yes,['Nicole Johnson'],[],['Karen Taylor']
2024-05-20,AM,Social Sciences SR (10.07),9,3,Laurie Finley,yes,"['Terri Roberson', 'Derek Day']",[],['John Ibarra']
2024-05-20,AM,Social Sciences SR (12.38),11,3,Tracy Young,yes,"['Matthew Smith', 'Jeremy Harris Jr.']",[],['Daniel Montoya']
2024-05-20,AM,Textiles Computer Cluster (G.34),10,3,Evelyn May,yes,"['Matthew Evans', 'Robert Torres']",[],['Matthew Jones']
2024-05-20,AM,The Edge (Sports Hall 1),536,17,Sarah Beard,no,[],"['Kathy Eaton', 'Rachel Caldwell', 'Rebecca Diaz', 'Jeffrey Taylor', 'Yolanda Obrien', 'Wesley Pittman', 'Benjamin Trujillo', 'Mark Watkins PhD', 'Christopher Mcfarland', 'Edward Goodman', 'Jose Obrien', 'James Higgins', 'Nicholas Brown', 'Brandon Morales', 'Mark Rivera', 'Mrs. Amanda Flores']","['Peggy Harris', 'Dan Orozco', 'Lisa Richmond']"
2024-05-20,AM,The Edge (Sports Hall 2),270,9,Steven Collins MD,no,[],"['Dr. Shane Randall', 'Justin James', 'Kayla Moore', 'Mrs. Lisa King', 'Jennifer Joseph', 'Frances Nguyen', 'Dan Orozco', 'Lisa Richmond']","['Daniel Sherman', 'Mark Watkins PhD', 'Mrs. Amanda Flores']"
2024-05-20,PM,Emmanuel Centre SR 03,1,1,Chelsey Hunter,yes,[],[],['Willie Baker']
2024-05-20,PM,Social Sciences SR (10.07),1,1,Charlene Rios,yes,[],[],['Brian Huang']
2024-05-20,PM,Social Sciences SR (12.38),1,1,Paula Wilson,yes,[],[],['Nicholas Brown']
2024-05-20,PM,Chemistry West Block SR (1.65),5,1,Stephanie Thompson,yes,[],[],['Charlene Rios']
2024-05-20,PM,Chemistry West Block SR (G.75),8,2,Eric Griffith,yes,['Frank Robinson'],[],['Brian May']
2024-05-20,PM,EC Stoner Cluster (6.61),3,1,Taylor Hernandez,no,[],[],['Melinda Santana']
2024-05-20,PM,EC Stoner Cluster (6.68),8,1,Johnny Hawkins,no,[],[],['Alejandro Jones']
2024-05-20,PM,EC Stoner SR (7.79),18,6,Marie Pratt,yes,"['Morgan Kemp', 'Jeffrey Garcia', 'April Thomas', 'Leah Parker', 'Thomas Roberts']",[],['Kimberly Cook']
2024-05-20,PM,Emmanuel Centre SR 01,1,1,Lisa Murphy,yes,[],[],['Mark Rivera']
2024-05-20,PM,Emmanuel Centre SR 02,1,1,Gail Torres,yes,[],[],['Andrew Cervantes']
2024-05-20,PM,Emmanuel Centre SR 03,1,1,Thomas Gregory,yes,[],[],['Erin Diaz']
2024-05-20,PM,Emmanuel Centre SR 10,8,2,Mrs. Brianna Hunter,yes,['Ray Williams'],[],['Eric Griffith']
2024-05-20,PM,English SR 1 (LG.04) House 10 Cavendish Road,5,1,Trevor Garcia,yes,[],[],['Evelyn May']
2024-05-20,PM,English SR 3 (LG.01) House 10 Cavendish Road,5,1,Teresa Fernandez,yes,[],[],['Tonya Wells']
2024-05-20,PM,English SR 4 (LG.02) House 10 Cavendish Road,3,1,Jade Porter,yes,[],[],['Morgan Kemp']
2024-05-20,PM,Great Hall,155,5,Richard Ellison MD,no,[],"['Elizabeth Fisher', 'Elizabeth Murphy', 'Michelle Jones', 'Roberta Marshall']","['Allison Burton', 'Billy Richards DDS', 'Nicole Pacheco']"
2024-05-20,PM,Michael Sadler SR (B.37),6,2,Bobby Miller DVM,yes,['Jennifer Lopez'],[],['Mr. Cameron Knight']
2024-05-20,PM,Michael Sadler SR (B.49),3,1,Erin Smith,yes,[],[],['Bobby Miller DVM']
2024-05-20,PM,Michael Sadler SR (LG.15),25,1,Mary Knight,no,[],[],['Brittney Cameron']
2024-05-20,PM,Michael Sadler World Cinema Rm (B.36),6,2,Katherine Carroll,yes,['Dr. Kelsey Medina MD'],[],['William Booker']
2024-05-20,PM,Newlyn SR (1.01),67,2,Paul Martinez,no,[],['Sergio Oliver'],"['Sarah Beard', 'Michelle Jones', 'Toni Burnett']"
2024-05-20,PM,Newlyn SR (GR.01),68,2,Cole Ramsey,no,[],['Lauren Banks'],"['Jeffrey Fowler', 'Rachel Caldwell', 'Roberta Marshall']"
2024-05-20,PM,Newlyn SR (GR.07),68,2,Marie Rodriguez,no,[],['Wendy Jones'],"['Patricia Washington', 'Tommy Aguilar', 'Adam Allen']"
2024-05-20,PM,Psychology Cluster (1.43),21,1,Ralph Patton,no,[],[],['Danielle Davis']
2024-05-20,PM,Psychology Cluster (1.45),4,1,Veronica Phillips,no,[],[],['Johnny Hawkins']
2024-05-20,PM,Social Sciences SR (10.05),9,3,Tonya Wells,yes,"['Manuel Bentley', 'Billy Richards DDS']",[],['Daniel Nicholson']
2024-05-20,PM,Social Sciences SR (10.06),11,3,Pamela Smith,yes,"['George Campbell', 'Erin Diaz']",[],['Alexis Johnson']
2024-05-20,PM,Social Sciences SR (10.07),9,3,Nancy Torres,yes,"['James Castro', 'Brian May']",[],['Anthony Palmer']
2024-05-20,PM,Social Sciences SR (10.10),7,2,Carrie Thomas,yes,['Dr. Robert Payne'],[],['Mary Knight']
2024-05-20,PM,Textiles Computer Cluster (G.34),4,1,Steven Chang,yes,[],[],['Paula Wilson']
2024-05-20,PM,The Edge (Sports Hall 1),490,16,Dominique Rivers,no,[],"['Morgan Miranda', 'Amber Flowers', 'Catherine Rodriguez', 'Isaac Black', 'Kevin Hunt', 'Kayla Greene', 'Jennifer Harris', 'Aimee Bailey', 'James Wells', 'Adrian Riggs', 'Matthew Parker', 'Timothy George', 'Michael Harrison', 'Toni Burnett', 'Shawn Hutchinson']","['Robert Graves', 'Elizabeth Murphy', 'Richard Ellison MD']"
2024-05-20,PM,The Edge (Sports Hall 2),296,9,Alexandra Pittman,no,[],"['Louis Whitehead', 'Matthew Hudson', 'Paul Miller', 'Jessica Mckee', 'Marissa Baker', 'William Aguirre', 'Gregory Lindsey', 'Richard Elliott']","['Melissa Brooks', 'William Hoffman', 'Christopher Mills']"
2024-05-21,AM,Chemistry West Block SR (1.65),8,2,Brian Huang,yes,['Jennifer Hamilton'],[],['Gregory Brown']
2024-05-21,AM,Chemistry West Block SR (G.75),6,2,Jessica Carter,yes,['Cheryl Martin'],[],['Angela Rangel']
2024-05-21,AM,Cohen Computer Cluster A&B (1.40),49,1,Jeremiah Marshall,no,[],[],"['Rebecca Wheeler', 'James Higgins', 'Lisa Young']"
2024-05-21,AM,EC Stoner Cluster (6.61),2,1,Angel Potter,no,[],[],['Jeremiah Marshall']
2024-05-21,AM,EC Stoner Cluster (6.68),1,1,Deborah Mclaughlin,no,[],[],['Sharon Whitehead']
2024-05-21,AM,EC Stoner SR (7.70),12,4,Chris Hernandez,yes,"['Timothy Santos', 'Garrett Hunt', 'Susan Matthews']",[],['Steven Murphy']
2024-05-21,AM,EC Stoner SR (7.78),10,3,Tommy Aguilar,yes,"['Melissa Brooks', 'Melanie White']",[],['Jessica Carter']
2024-05-21,AM,EC Stoner SR (7.79),3,1,Michelle Dunn,yes,[],[],['Terri Roberson']
2024-05-21,AM,Emmanuel Centre SR 01,1,1,Eric White,yes,[],[],['Donna Stephens']
2024-05-21,AM,Emmanuel Centre SR 02,1,1,Anthony Palmer,yes,[],[],['Jack Meadows']
2024-05-21,AM,English SR 1 (LG.04) House 10 Cavendish Road,6,2,Candace Gray DDS,yes,['James Massey'],[],['Jeff Spencer']
2024-05-21,AM,English SR 2 (LG.06) House 10 Cavendish Road,2,1,Brian Williams,yes,[],[],['Timothy Smith']
2024-05-21,AM,English SR 4 (LG.02) House 10 Cavendish Road,4,1,Ronnie Harris,yes,[],[],['Edward Gregory']
2024-05-21,AM,English SR 7 (LG.05) House 5 Cavendish Road,2,1,Dawn Mccormick,yes,[],[],['Matthew Smith']
2024-05-21,AM,Great Hall,120,4,Alisha Porter,no,[],"['Thomas Rodriguez', 'Dr. Sarah Hunter', 'Robert Sherman']","['Melissa White', 'Michael Hughes', 'Michael Mckinney']"
2024-05-21,AM,Irene Manton North Cluster (7.96),4,1,Daniel Griffin,no,[],[],['Garrett Arnold']
2024-05-21,AM,Irene Manton South Cluster (7.90),4,1,Austin Sanchez,no,[],[],['Eric Caldwell']
2024-05-21,AM,Martin Thomas Translation Lab 1 (1.30),15,1,Dr. Lisa Walsh,no,[],[],['Sharon Giles']
2024-05-21,AM,Martin Thomas Translation Lab 2 (1.30a),2,1,Cody Gutierrez,no,[],[],['Christina Smith']
2024-05-21,AM,Michael Sadler SR (1.19),1,1,Tracey Orozco,yes,[],[],['Cheryl Martin']
2024-05-21,AM,Michael Sadler SR (B.37),6,2,Stephen Nunez,yes,['Lauren White'],[],['Veronica Phillips']
2024-05-21,AM,Michael Sadler SR (B.49),2,1,Mary Sweeney,yes,[],[],['Katherine Carroll']
2024-05-21,AM,Michael Sadler SR (LG.10),65,2,Sharon Whitehead,no,[],['Benjamin Rojas III'],"['Mark Wilson', 'Jeffrey Taylor', 'Yolanda Obrien']"
2024-05-21,AM,Michael Sadler SR (LG.15),40,1,Elizabeth Jackson,no,[],[],"['Alisha Porter', 'Eric Daniel', 'Adrian Riggs']"
2024-05-21,AM,Parkinson SR (B.08),20,1,Stephanie Duncan,no,[],[],['Amanda Morgan']
2024-05-21,AM,Parkinson SR (B.09),8,1,Tonya Walsh,no,[],[],['Amanda Ingram']
2024-05-21,AM,Psychology Cluster (1.43),13,1,Erica Rodriguez,no,[],[],['Timothy Werner']
2024-05-21,AM,Psychology Cluster (1.45),3,1,Kara Warren,no,[],[],['Kristin Pena']
2024-05-21,AM,Room UG09 (Great Hall Building),63,2,Taylor Cortez,no,[],['Kathleen Jackson'],"['Jon Hanson', 'Isaac Black', 'Robert Sherman']"
2024-05-21,AM,Social Sciences SR (10.06),2,1,Timothy Werner,yes,[],[],['Teresa Fernandez']
2024-05-21,AM,Social Sciences SR (10.10),7,2,Joseph Johnson,yes,['Sierra Decker'],[],['Erica Miller']
2024-05-21,AM,Social Sciences SR (12.38),10,3,Gerald Smith,yes,"['Scott Baker', 'Karen Webster']",[],['Deborah Mclaughlin']
2024-05-21,AM,Textiles Computer Cluster (G.34),5,1,Kelsey Hill,yes,[],[],['Nicholas Marsh']
2024-05-21,AM,The Edge (Sports Hall 1),478,15,Dennis Fischer,no,[],"['Christina Franco', 'Jacob Holmes', 'Dennis Cline', 'Kayla Briggs', 'Ashley Butler', 'Barry Ramirez MD', 'Lisa Morgan', 'Michael Mckinney', 'Lonnie Camacho', 'Shelby Walker', 'Jeffrey Fowler', 'James Cruz', 'Danielle Davis', 'Linda Moreno']","['Trevor Garcia', 'Kathy Eaton', 'Scott Baker']"
2024-05-21,AM,The Edge (Sports Hall 2),287,9,John Alvarez,no,[],"['Melissa Johnson', 'Benjamin Booker', 'Ronald Jones', 'Douglas Cardenas', 'Amanda Lindsey', 'Gina Watkins', 'Shane Hanna', 'Sally Beck']","['Stephanie Thompson', 'Kelly Brown', 'Megan Maynard']"
2024-05-21,PM,Cohen Computer Cluster A&B (1.40),49,1,Andrew Smith,no,[],[],"['Kevin Thompson', 'Rebecca Diaz', 'Wesley Pittman']"
2024-05-21,PM,Conference Gallery,91,3,Robert Graves,no,[],"['Denise Ward', 'Sean Frank']","['Andrew Smith', 'Leslie Fox', 'Nina Silva']"
2024-05-21,PM,EC Stoner Cluster (6.68),17,1,Shane Cook,no,[],[],['Cody Reeves']
2024-05-21,PM,Emmanuel Centre SR 02,1,1,Denise Ruiz,yes,[],[],['Sierra Decker']
2024-05-21,PM,Emmanuel Centre SR 03,1,1,Jason Bridges,yes,[],[],['Richard Elliott']
2024-05-21,PM,Emmanuel Centre SR 04,1,1,Andrew Cervantes,yes,[],[],['Mia Mccarthy']
2024-05-21,PM,Emmanuel Centre SR 05,1,1,Kevin Newman,yes,[],[],['Erin Moore']
2024-05-21,PM,Great Hall,148,4,Nicole Charles,no,[],"['Karen Taylor', 'Robert Banks', 'Kenneth Berger']","['Aaron Powell', 'James Wells', 'Morgan Miranda']"
2024-05-21,PM,Irene Manton North Cluster (7.96),3,1,Ana Owens,no,[],[],['Richard Smith']
2024-05-21,PM,Irene Manton South Cluster (7.90),4,1,Benjamin Mitchell,no,[],[],['Angel Potter']
2024-05-21,PM,Michael Sadler SR (B.37),3,1,Kristen Bowen,yes,[],[],['Shane Cook']
2024-05-21,PM,Michael Sadler SR (B.49),2,1,Andrew English,yes,[],[],['Erin Smith']
2024-05-21,PM,Michael Sadler SR (LG.10),53,1,Jared Lowe,no,[],[],"['Denise Ruiz', 'Paul Miller', 'Shelby Walker']"
2024-05-21,PM,Michael Sadler SR (LG.15),41,1,Leslie Abbott,no,[],[],"['Brian Schmidt', 'Lisa Morgan', 'Joshua Herrera']"
2024-05-21,PM,Michael Sadler World Cinema Rm (B.36),1,1,Lisa Conley,yes,[],[],['Nicholas Hernandez']
2024-05-21,PM,Newlyn SR (GR.01),68,2,Larry Miller,no,[],['Stanley Decker'],"['Cynthia Weber', 'Alyssa Fuller', 'Yolanda Wilson']"
2024-05-21,PM,Newlyn SR (GR.07),68,2,Benjamin Cabrera,no,[],['Michael Fox'],"['Ray Williams', 'Kayla Briggs', 'Barry Ramirez MD']"
2024-05-21,PM,Psychology Cluster (1.43),10,1,Adam Johnston,no,[],[],['Cody Gutierrez']
2024-05-21,PM,Psychology Cluster (1.45),11,1,Garrett Arnold,no,[],[],['Kara Warren']
2024-05-21,PM,Room UG09 (Great Hall Building),95,3,Aaron Moreno,no,[],"['Ryan Hart', 'Sandra Perez']","['Elizabeth Fisher', 'Christina Franco', 'Dennis Cline']"
2024-05-21,PM,Social Sciences SR (10.05),9,3,Susan Mercado,yes,"['Shannon Duarte', 'Shelley Frey']",[],['Elizabeth Jackson']
2024-05-21,PM,Social Sciences SR (10.06),8,2,Melissa Russell,yes,['Brian Sanders'],[],['James Castro']
2024-05-21,PM,Social Sciences SR (10.10),9,3,David Hayes,yes,"['Robert Espinoza', 'Christopher Parker']",[],['Katherine Robinson']
2024-05-21,PM,Social Sciences SR (12.38),12,4,Steven Murphy,yes,"['Dawn Thomas', 'Kimberly Cook', 'Christina Williams']",[],['David Black']
2024-05-21,PM,Textiles Computer Cluster (G.34),4,1,Amy Sims,yes,[],[],['Shelley Frey']
2024-05-21,PM,The Edge (Sports Hall 1),475,15,Katherine Robinson,no,[],"['George Hughes', 'Stephanie Ford', 'Julie Byrd', 'Keith Bowman', 'Jordan Reilly', 'Alexis Johnson', 'Caroline Garcia', 'John Daniels', 'Jerry Whitehead', 'Jason Price', 'Timothy Smith', 'Kristin Pena', 'Amy George', 'Joanna Cross']","['Christina Sanchez', 'Molly Smith', 'Joel Dominguez']"
2024-05-21,PM,The Edge (Sports Hall 2),298,9,Mia Mccarthy,no,[],"['Cody Hopkins', 'Kristen Cardenas', 'Scott Mccann', 'Alyssa Fuller', 'David Black', 'Daisy Patton', 'Rachel Lane', 'Judy Tran']","['Paul Wilson', 'Frances Nguyen', 'Joanna Cross']"
2024-05-22,AM,Conference Gallery,82,2,Melissa White,no,[],['Jason Guzman'],"['Carrie Thomas', 'Douglas Cardenas', 'Jerry Whitehead']"
2024-05-22,AM,EC Stoner SR (7.70),10,3,Darlene Cunningham,yes,"['Barbara Dunn', 'Yolanda Wilson']",[],['Brian Williams']
2024-05-22,AM,EC Stoner SR (7.78),7,2,Jim Leon,yes,['Rebecca Hernandez'],[],['Jennifer Shaw']
2024-05-22,AM,Emmanuel Centre SR 01,1,1,Jonathan Fowler,yes,[],[],['Judy Tran']
2024-05-22,AM,Emmanuel Centre SR 02,1,1,Sara Allen,yes,[],[],['George Campbell']
2024-05-22,AM,Emmanuel Centre SR 03,1,1,Melanie Jackson,yes,[],[],['Andrew Bradford']
2024-05-22,AM,Emmanuel Centre SR 04,1,1,Brandy Clark MD,yes,[],[],['Matthew Lane']
2024-05-22,AM,Emmanuel Centre SR 05,1,1,Jason Robbins,yes,[],[],['Jonathan Fowler']
2024-05-22,AM,Emmanuel Centre SR 10,6,2,Megan Walker,yes,['Diane Simpson'],[],['Ross Evans']
2024-05-22,AM,Emmanuel Centre SR 11,7,2,Daniel Morrison,yes,['Gabrielle Evans'],[],['Susan Mercado']
2024-05-22,AM,English SR 1 (LG.04) House 10 Cavendish Road,5,1,Morgan Reese,yes,[],[],['Joseph Johnson']
2024-05-22,AM,English SR 2 (LG.06) House 10 Cavendish Road,4,1,Bryan Silva,yes,[],[],['Mary Duffy']
2024-05-22,AM,English SR 3 (LG.01) House 10 Cavendish Road,2,1,Marisa Martin,yes,[],[],['Robert Espinoza']
2024-05-22,AM,English SR 7 (LG.05) House 5 Cavendish Road,3,1,Sarah Holt,yes,[],[],['William Flores']
2024-05-22,AM,Great Hall,132,4,Kari Thornton,no,[],"['Daniel Montoya', 'Molly Keith', 'April Hall']","['Dominique Rivers', 'Jennifer Hamilton', 'Nicholas Jordan']"
2024-05-22,AM,Irene Manton North Cluster (7.96),4,1,Jennifer Dominguez,no,[],[],['Stacy Wells']
2024-05-22,AM,Michael Sadler SR (1.19),1,1,Micheal Mason,yes,[],[],['Laura Erickson']
2024-05-22,AM,Michael Sadler SR (LG.10),43,1,Raymond Wiggins,no,[],[],"['Linda Friedman', 'Rachel Lane', 'Ian Roberts']"
2024-05-22,AM,Psychology Cluster (1.43),7,1,Bonnie Zamora,no,[],[],['Randall Weiss']
2024-05-22,AM,Psychology Cluster (1.45),18,1,Austin Smith Jr.,no,[],[],['Dennis Fischer']
2024-05-22,AM,Room UG09 (Great Hall Building),83,2,Michael Roberson,no,[],['Michael Hood'],"['Michael Brennan', 'Brian Sanders', 'Kristen Cardenas']"
2024-05-22,AM,Social Sciences SR (10.05),7,2,Alan Hess,yes,['Andrew Simmons'],[],['Garrett Hunt']
2024-05-22,AM,Social Sciences SR (10.07),10,3,Katherine Wilson,yes,"['Natasha Parker', 'Christina Smith']",[],['Lori Kerr']
2024-05-22,AM,Social Sciences SR (10.10),6,2,Jacqueline Willis,yes,['Lori Kerr'],[],['Kevin Murphy']
2024-05-22,AM,Social Sciences SR (12.38),10,3,Denise Davis,yes,"['Sarah Taylor', 'Colleen Avila']",[],['Sarah Holloway']
2024-05-22,AM,Textiles Computer Cluster (G.34),5,1,Linda Friedman,yes,[],[],['Christopher Sherman']
2024-05-22,AM,The Edge (Sports Hall 1),522,17,Jamie Murphy,no,[],"['Mary Nolan', 'Kathleen Mosley', 'Katie Knight', 'Edward Gregory', 'Molly Smith', 'Joel Dominguez', 'Richard Jones', 'Wendy Carter', 'David Thomas', 'Sandra Cruz', 'Lori Wells', 'Scott Stanton PhD', 'Stephanie Washington', 'Matthew Shah', 'Matthew Hoffman', 'Sean Anderson']","['Nicole Charles', 'Susan Matthews', 'Austin Sanchez']"
2024-05-22,AM,The Edge (Sports Hall 2),214,7,Andrea Christensen,no,[],"['Megan Maynard', 'Brittney Cameron', 'Amanda Morgan', 'Mark Wilson', 'Joshua Nguyen', 'Kathy Zamora']","['Kelsey Hill', 'Kevin Hunt', 'Wendy Jones']"
2024-05-22,PM,EC Stoner SR (7.70),1,1,Steven Castro,yes,[],[],['Sandra Perez']
2024-05-22,PM,EC Stoner SR (7.78),1,1,James Young,yes,[],[],['Steven Castro']
2024-05-22,PM,Chemistry West Block SR (G.75),6,2,Andrew Cohen,yes,['Christina Ayers'],[],['Gerald Smith']
2024-05-22,PM,EC Stoner Cluster (6.68),8,1,Kristina Hill,no,[],[],['Sean Anderson']
2024-05-22,PM,EC Stoner SR (7.70),13,4,Dominique Smith,yes,"['Christina Sanchez', 'Kimberly Campbell', 'Angela Reese']",[],['Andrew West']
2024-05-22,PM,EC Stoner SR (7.78),11,3,Ricky Salazar,yes,"['Sarah Holloway', 'Rachael Berry']",[],['Christopher Garcia']
2024-05-22,PM,EC Stoner SR (7.79),15,5,Caitlin Phillips,yes,"['Edgar Reeves', 'Fred Wright', 'Kimberly Figueroa', 'Shannon Myers']",[],['Ryan Hart']
2024-05-22,PM,Emmanuel Centre SR 01,1,1,Keith Wall,yes,[],[],['William Michael']
2024-05-22,PM,Emmanuel Centre SR 10,7,2,Levi Garcia,yes,['Mary Duffy'],[],['Anne Mathews']
2024-05-22,PM,English SR 1 (LG.04) House 10 Cavendish Road,5,1,Abigail Stewart,yes,[],[],['Caitlin Phillips']
2024-05-22,PM,English SR 2 (LG.06) House 10 Cavendish Road,4,1,Johnny Black,yes,[],[],['Kevin Newman']
2024-05-22,PM,English SR 3 (LG.01) House 10 Cavendish Road,3,1,Elizabeth Wells,yes,[],[],['Keith Wall']
2024-05-22,PM,English SR 4 (LG.02) House 10 Cavendish Road,4,1,Nicole Hartman,yes,[],[],['Kristen Bowen']
2024-05-22,PM,Great Hall,133,4,Cheryl Bradley,no,[],"['Richard Harris', 'Denise Brooks', 'Cheyenne Melendez']","['Bethany Johnson', 'Catherine Rodriguez', 'Scott Contreras']"
2024-05-22,PM,Martin Thomas Translation Lab 1 (1.30),12,1,Brian Maldonado,no,[],[],['Jared Lowe']
2024-05-22,PM,Martin Thomas Translation Lab 2 (1.30a),3,1,Ashley Fisher,no,[],[],['Darlene Cunningham']
2024-05-22,PM,Michael Sadler SR (1.19),1,1,Danielle Adams,yes,[],[],['Jessica Mckee']
2024-05-22,PM,Michael Sadler SR (1.37),1,1,Cody Gallagher,yes,[],[],['Lisa Conley']
2024-05-22,PM,Michael Sadler SR (2.01),1,1,Jocelyn Sims DDS,yes,[],[],['Kayla Christensen']
2024-05-22,PM,Michael Sadler SR (LG.10),21,1,Nicholas Fisher,no,[],[],['Andrew English']
2024-05-22,PM,Michael Sadler SR (LG.15),13,1,Samuel Freeman,no,[],[],['Jessica Armstrong']
2024-05-22,PM,Michael Sadler World Cinema Rm (B.36),6,2,Brian Dean,yes,['Elijah Phillips'],[],['Kristi Fischer']
2024-05-22,PM,Psychology Cluster (1.43),22,1,Greg Pitts,no,[],[],['Dr. Lisa Walsh']
2024-05-22,PM,Psychology Cluster (1.45),4,1,Jenna Patterson,no,[],[],['Jocelyn Sims DDS']
2024-05-22,PM,Room UG09 (Great Hall Building),95,3,Michael Grant,no,[],"['Sarah Wyatt', 'Susan Hampton']","['Paul Carroll', 'Justin Jennings', 'Jacqueline Willis']"
2024-05-22,PM,Social Sciences SR (10.07),6,2,David Zuniga,yes,['Christopher Mills'],[],['Jennifer Haynes']
2024-05-22,PM,Textiles Computer Cluster (G.34),7,2,Sharon Ruiz,yes,['Daniel Garcia'],[],['Thomas Rodriguez']
2024-05-22,PM,The Edge (Sports Hall 1),521,17,Miss Cindy Villegas MD,no,[],"['Justin Page', 'Kevin Thompson', 'Michele White', 'Amy Holland', 'Joshua Long', 'Sharon Giles', 'Mr. Billy Cardenas', 'Joseph Barnes', 'Gregory Brown', 'Randy Hall', 'Debra Mills', 'Donna Stephens', 'Peggy Harris', 'Bethany Johnson', 'Ronald Benjamin', 'Erica Miller']","['Jennifer Dominguez', 'Stanley Decker', 'Sandra Cruz']"
2024-05-22,PM,The Edge (Sports Hall 2),284,9,Stacy Wells,no,[],"['James Rogers', 'Olivia Jackson', 'Lisa Jones', 'Nicholas Marsh', 'Erin Moore', 'Jennifer Shaw', 'Alejandro Jones', 'Jacqueline Diaz']","['Tonya Walsh', 'Manuel Bentley', 'Katie Knight']"
2024-05-23,AM,Cohen Computer Cluster A&B (1.40),93,3,Francisco Miller,no,[],"['Sheila Harris', 'Margaret Hicks']","['James Johnson', 'Alan Kim', 'Brad Guzman']"
2024-05-23,AM,Conference Gallery,43,1,Cole Price,no,[],[],"['Jason Bridges', 'Carla Woods', 'Gail Torres']"
